t,x,y
0,-46.124129,-4.029499
0.153503,-45.709652,-4.01204
0.328705,-45.288001,-3.937729
0.415199,-45.044168,-3.938783
0.513603,-44.737514,-3.97109
0.6548,-44.325816,-3.987471
0.807503,-43.886575,-3.998774
0.984001,-43.462495,-4.055578
1.071999,-43.197809,-4.091032
1.169205,-42.96662,-4.157159
1.310204,-42.609782,-4.176921
1.461601,-42.216518,-4.270007
1.639099,-41.778154,-4.355374
1.7286,-41.573107,-4.35619
1.824898,-41.401324,-4.351002
1.9655,-41.057676,-4.296751
2.1157,-40.751229,-4.32368
2.294304,-40.228157,-4.346633
2.385101,-39.937061,-4.385203
2.480698,-39.767333,-4.407938
2.620804,-39.404937,-4.39678
2.769798,-39.046033,-4.44496
2.9496,-38.494049,-4.384225
3.041405,-38.269387,-4.348947
3.136497,-38.033877,-4.315672
3.2761,-37.598504,-4.241259
3.423904,-37.244525,-4.148159
3.604698,-36.698926,-4.053925
3.6978,-36.592857,-4.023856
3.792198,-36.337908,-4.013116
3.931503,-36.0203,-3.989485
4.078003,-35.769385,-3.914054
4.259102,-35.457264,-3.705862
4.354202,-35.332161,-3.64304
4.447899,-35.199095,-3.566276
4.5867,-34.966563,-3.399517
4.732803,-34.743627,-3.256751
4.913399,-34.427308,-3.174375
5.010704,-34.262167,-3.181798
5.1035,-34.059011,-3.120724
5.241699,-33.732995,-3.055152
5.3881,-33.385309,-2.987979
5.567802,-32.992265,-2.869819
5.667198,-32.853479,-2.828097
5.759201,-32.682767,-2.776776
5.896599,-32.383104,-2.687665
6.043404,-32.119213,-2.677144
6.221901,-31.728832,-2.559785
6.3237,-31.474958,-2.483464
6.4151,-31.207092,-2.389081
6.551498,-30.949549,-2.255726
6.6987,-30.736998,-2.191827
6.875801,-30.349564,-2.075355
6.980202,-30.077764,-2.052945
7.071404,-29.83159,-2.042576
7.206505,-29.415433,-2.081596
7.353905,-29.017736,-2.064844
7.529602,-28.520397,-1.920188
7.636803,-28.252525,-1.822917
7.7276,-27.908132,-1.782741
7.861603,-27.506587,-1.70919
8.009003,-27.132745,-1.66659
8.183205,-26.751847,-1.552082
8.293602,-26.459884,-1.532981
8.383904,-26.261608,-1.474491
8.516701,-25.919825,-1.441529
8.664299,-25.596949,-1.344464
8.8367,-25.147413,-1.308049
8.950401,-24.868684,-1.265102
9.040199,-24.672315,-1.206069
9.171799,-24.306052,-1.202796
9.319504,-23.921681,-1.206749
9.490204,-23.543752,-1.212225
9.607101,-23.234296,-1.192484
9.696404,-23.038775,-1.133706
9.826797,-22.737407,-1.065162
9.974899,-22.378406,-1.004969
10.143799,-21.93294,-0.974727
10.263603,-21.499418,-0.975816
10.3526,-21.27139,-0.991358
10.482002,-20.924018,-1.037888
10.630203,-20.466122,-1.08259
10.797401,-20.124201,-1.096463
10.920204,-19.765038,-1.07425
11.008499,-19.444752,-1.039568
11.137398,-19.075313,-1.047857
11.2855,-18.645832,-1.062466
11.451103,-18.170276,-1.07402
11.576904,-17.766047,-1.128167
11.664398,-17.520525,-1.128166
11.792702,-17.174013,-1.11357
11.940498,-16.824616,-1.111672
12.104698,-16.441265,-1.11098
12.233704,-16.092934,-1.096308
12.320305,-15.886642,-1.094715
12.447998,-15.623906,-1.104827
12.595398,-15.276988,-1.033779
12.758301,-14.855121,-1.090288
12.890999,-14.488237,-1.139432
12.976303,-14.297399,-1.087944
13.103104,-13.960491,-1.067525
13.250099,-13.544691,-1.071022
