time,x,y
0,-79.143385,15.813719
0.145897,-78.7496,15.830309
0.303299,-78.218977,15.810192
0.460396,-77.688679,15.790182
0.541595,-77.469575,15.799412
0.653999,-77.056808,15.845077
0.8004,-76.637302,15.836205
0.957596,-76.185853,15.825221
1.117302,-75.684949,15.864363
1.198601,-75.425789,15.885516
1.308899,-75.067543,15.916271
1.455101,-74.673502,16.002486
1.612,-74.048403,16.040106
1.7742,-73.543887,16.049624
1.855698,-73.322645,16.057693
1.964401,-72.961464,16.014517
2.110001,-72.42559,16.011913
2.266296,-72.003511,16.029695
2.431198,-71.518589,16.006185
2.512901,-71.286735,16.003343
2.619797,-71.036492,15.957609
2.7649,-70.664592,15.944729
2.9207,-70.209481,15.925905
3.088196,-69.849902,15.894227
3.169998,-69.620714,15.894577
3.275299,-69.293659,15.861112
3.419701,-68.937649,15.913537
3.575096,-68.644816,15.916722
3.745102,-68.185754,15.936061
3.827202,-67.964151,15.945397
3.930702,-67.684711,15.95717
4.074402,-67.245719,15.919115
4.229401,-66.827224,15.936745
4.401695,-66.25262,15.989227
4.484398,-66.029306,15.998635
4.586197,-65.754645,16.010206
4.729095,-65.368871,16.026458
4.883499,-65.061364,16.011138
5.057098,-64.588921,16.032048
5.141602,-64.268149,16.069471
5.241798,-63.984812,16.084767
5.383797,-63.601291,16.100924
5.537498,-63.186489,16.118399
5.712402,-62.714203,16.138295
5.798698,-62.48125,16.148109
5.897301,-62.237453,16.183168
6.038597,-61.791869,16.257755
6.191498,-61.362804,16.280051
6.367699,-60.77761,16.332979
6.455498,-60.540638,16.342962
6.552902,-60.277789,16.354036
6.693901,-59.897011,16.370077
6.845497,-59.440602,16.337272
7.022896,-58.883855,16.423714
7.112198,-58.658522,16.450527
7.208496,-58.426623,16.491387
7.349197,-58.069714,16.531882
7.499496,-57.738732,16.628402
7.678101,-57.298699,16.656635
7.7686,-57.090287,16.592857
7.864296,-56.78857,16.557579
8.004501,-56.38392,16.545776
8.153702,-55.956063,16.536101
8.333298,-55.471258,16.556525
