time,x,y
0,-100.968333,-33.842766
0.140404,-100.633309,-33.780045
0.223,-100.429401,-33.750536
0.348,-100.12425,-33.702053
0.493202,-99.786987,-33.627197
0.653999,-99.400643,-33.558475
0.797699,-99.069764,-33.481369
0.878998,-98.891995,-33.427927
1.002701,-98.621356,-33.346567
1.147705,-98.272405,-33.284756
1.307701,-97.92663,-33.207502
1.454903,-97.690259,-33.136443
1.535004,-97.490007,-33.110427
1.657104,-97.196764,-33.057873
1.802299,-96.879215,-32.96241
1.961502,-96.530965,-32.857719
2.1119,-96.20184,-32.758776
2.1922,-96.026166,-32.705964
2.311401,-95.765404,-32.627574
2.456902,-95.447237,-32.531925
2.615303,-95.049521,-32.482148
2.768799,-94.713729,-32.381201
2.849503,-94.537174,-32.328125
2.965805,-94.282772,-32.251646
3.111504,-93.912759,-32.210197
3.269005,-93.568099,-32.106584
3.425598,-93.268942,-32.016651
3.506699,-93.147011,-31.994434
3.619705,-92.859191,-31.963256
3.765999,-92.539021,-31.867005
3.923302,-92.176054,-31.783888
4.082504,-91.795656,-31.713318
4.163803,-91.617803,-31.659852
4.2743,-91.330743,-31.635184
4.4207,-90.986888,-31.564151
4.577705,-90.609975,-31.496446
4.739403,-90.228931,-31.419126
4.820801,-90.026772,-31.390908
4.929901,-89.788234,-31.319198
5.0755,-89.469626,-31.223417
5.232002,-89.127364,-31.120525
5.396301,-88.76783,-31.012441
5.478004,-88.589274,-30.958763
5.585304,-88.354476,-30.888178
5.7304,-88.014295,-30.816901
5.886299,-87.644754,-30.744605
6.053299,-87.279389,-30.634768
6.135101,-87.100568,-30.58101
6.2407,-86.869511,-30.511549
6.3853,-86.444738,-30.383853
6.540703,-86.135638,-30.329129
6.710304,-85.79108,-30.257134
6.792305,-85.611643,-30.203191
6.896202,-85.384437,-30.134888
7.040001,-85.069899,-30.040331
7.195099,-84.679357,-29.99271
7.367203,-84.302858,-29.879526
7.4496,-84.122651,-29.825352
7.551605,-83.899362,-29.758226
7.694702,-83.535267,-29.718556
7.849205,-83.197179,-29.616919
8.022499,-82.778068,-29.490925
8.106705,-82.524457,-29.414684
8.207199,-82.304688,-29.348617
8.349403,-81.961141,-29.289581
8.503204,-81.605946,-29.208344
8.677902,-81.223836,-29.093474
8.763901,-81.035642,-29.036898
8.862801,-80.696059,-28.98839
9.004105,-80.349507,-28.900416
9.157204,-79.936835,-28.776357
9.333199,-79.52029,-28.651135
9.4207,-79.328928,-28.593607
9.518303,-79.080092,-28.518801
9.659401,-78.697411,-28.403759
9.811203,-78.314003,-28.358283
9.988403,-77.926497,-28.24179
10.0774,-77.731768,-28.18325
10.173904,-77.475749,-28.167591
10.314705,-77.161392,-28.081568
10.465302,-76.745354,-27.956497
10.6436,-76.332638,-27.832426
10.733902,-76.110477,-27.799065
10.829704,-75.826479,-27.750049
10.970001,-75.457979,-27.639269
11.1194,-75.131097,-27.541001
11.298805,-74.6735,-27.473223
11.390205,-74.378006,-27.384391
11.485504,-74.169635,-27.32175
11.625305,-73.863855,-27.229825
11.773605,-73.494641,-27.179941
11.954002,-73.093602,-27.068055
12.0466,-72.859936,-27.040108
12.141304,-72.632627,-26.999262
12.280701,-72.327793,-26.907622
12.427605,-71.955029,-26.865346
12.608604,-71.522988,-26.751216
12.703003,-71.192014,-26.705753
12.796898,-70.980966,-26.649944
12.935898,-70.631342,-26.606988
13.081902,-70.311942,-26.510969
13.263,-69.864719,-26.446309
13.359398,-69.653664,-26.382861
13.452599,-69.415739,-26.357818
13.591003,-69.090395,-26.283316
13.737305,-68.640265,-26.183781
13.917305,-68.205499,-26.108919
14.015999,-67.939119,-26.097698
14.108299,-67.689846,-26.087198
14.245903,-67.283438,-26.019247
14.392601,-66.864115,-25.967594
14.571602,-66.380992,-25.947243
14.672501,-66.108584,-25.935769
14.764,-65.901475,-25.882941
14.900902,-65.52705,-25.850527
15.047905,-65.068572,-25.772124
15.225502,-64.628918,-25.70974
15.329002,-64.380599,-25.665062
15.420204,-64.15177,-25.636084
15.555901,-63.819241,-25.584867
15.703102,-63.454277,-25.508114
15.879303,-62.935592,-25.410046
15.985504,-62.652397,-25.394346
16.0765,-62.354126,-25.30503
16.2108,-62.037131,-25.227058
16.358299,-61.676066,-25.170976
16.533005,-61.269859,-25.081641
16.642303,-61.003595,-25.038602
16.732704,-60.781817,-25.004535
16.865898,-60.463139,-24.945915
17.013504,-60.089104,-24.903258
17.186501,-59.659483,-24.84389
17.299004,-59.406564,-24.776961
17.389,-59.165305,-24.765115
17.521004,-58.876423,-24.678271
17.668701,-58.510963,-24.626139
17.840004,-57.990414,-24.519389
17.955803,-57.71358,-24.468266
18.045303,-57.487437,-24.441654
18.176102,-57.035873,-24.397169
18.324104,-56.676667,-24.32268
18.493599,-56.222942,-24.299291
18.612404,-55.949534,-24.235503
18.7015,-55.708923,-24.225369
18.8312,-55.358758,-24.210619
18.979401,-55.108677,-24.173676
19.147102,-54.697803,-24.119945
19.269005,-54.388745,-24.084937
19.357498,-54.149736,-24.07487
19.486603,-53.852841,-24.005503
19.634705,-53.503897,-23.934569
19.800804,-53.098023,-23.848374
19.925598,-52.711451,-23.759818
20.013405,-52.48858,-23.734948
20.141899,-52.207421,-23.650426
20.289902,-51.828254,-23.606226
20.454498,-51.328049,-23.503626
20.582298,-51.032278,-23.436724
20.669304,-50.799329,-23.424807
20.797203,-50.505142,-23.355867
20.944702,-50.136951,-23.307141
21.108101,-49.717099,-23.266125
21.239502,-49.389773,-23.222095
21.325203,-49.22503,-23.199938
21.4524,-48.914243,-23.241567
21.599503,-48.557897,-23.181373
21.761803,-48.164075,-23.115886
21.896698,-47.839377,-23.042632
21.981102,-47.519099,-23.00527
22.107498,-47.234782,-22.923188
22.254105,-46.879269,-22.863848
22.415703,-46.461646,-22.781302
22.553902,-46.046546,-22.705551
22.637199,-45.838066,-22.67862
22.762802,-45.538374,-22.622569
22.9086,-45.328858,-22.559585
23.069603,-44.933664,-22.499153
23.211105,-44.564605,-22.469406
23.293304,-44.381212,-22.419335
23.417999,-44.060832,-22.387747
23.563004,-43.788357,-22.359596
23.723503,-43.431413,-22.294505
23.868401,-43.082575,-22.233234
23.949203,-42.873259,-22.214447
24.072403,-42.584941,-22.153421
24.217598,-42.21627,-22.112376
24.377304,-41.820164,-22.056992
24.525505,-41.514375,-21.998737
24.605598,-41.374279,-21.998828
24.726799,-41.088276,-21.941341
24.872101,-40.696196,-21.924826
25.030998,-40.267113,-21.906753
25.182503,-39.858228,-21.889531
25.262901,-39.680498,-21.838572
25.381104,-39.477128,-21.843831
25.526703,-39.110314,-21.806735
25.684799,-38.713817,-21.756504
25.839302,-38.457399,-21.717429
25.920105,-38.256617,-21.689668
26.0354,-37.979267,-21.640741
26.181305,-37.634071,-21.572303
26.3386,-37.262991,-21.497474
26.496101,-36.894181,-21.419663
26.577301,-36.716548,-21.366263
26.689301,-36.420421,-21.347027
26.835899,-36.128768,-21.294155
26.993004,-35.76295,-21.288949
27.153,-35.378597,-21.220182
27.234398,-35.236668,-21.200524
27.344505,-35.022388,-21.176904
27.490601,-34.635272,-21.159304
27.6474,-34.396613,-21.087558
27.809898,-34.054994,-21.001544
27.891502,-33.920872,-21.014327
28,-33.676324,-20.95056
28.145401,-33.379067,-20.921235
28.301704,-33.030342,-20.886187
28.466904,-32.715998,-20.848173
28.548599,-32.54844,-20.811104
28.655403,-32.279351,-20.778622
28.800301,-31.888035,-20.76214
28.9561,-31.580056,-20.729346
29.123901,-31.194463,-20.683215
29.205704,-31.026978,-20.646623
29.310799,-30.831116,-20.661074
29.455101,-30.51707,-20.667393
29.610504,-30.182622,-20.605485
29.780899,-29.826428,-20.617306
29.862999,-29.649772,-20.56778
29.966301,-29.382744,-20.54352
30.109802,-28.99523,-20.527198
30.264801,-28.576895,-20.509578
30.437302,-28.271845,-20.468455
